date,open,high,low,close,volume
2020-01-02,7199.7,7209.6,6901.4,6967.0,632780.0
2020-01-03,6967.1,7402.9,6884.1,7343.1,936290.0
2020-01-04,7345.1,7433.1,7291.4,7376.8,523910.0
2020-01-05,7376.8,7501.0,7345.6,7372.5,628140.0
2020-01-06,7372.6,7783.1,7366.7,7759.1,786750.0
2020-01-07,7759.1,8182.0,7754.1,8155.7,1010000.0
2020-01-08,8154.2,8436.4,7900.8,8059.6,1190000.0
2020-01-09,8060.0,8065.9,7779.2,7842.4,786500.0
2020-01-10,7842.5,8187.4,7697.7,8187.1,1050000.0
2020-01-11,8187.8,8262.9,8008.4,8024.1,776750.0
2020-01-12,8023.3,8189.9,7973.1,8187.6,595220.0
2020-01-13,8188.3,8196.7,8068.4,8111.4,610660.0
2020-01-14,8111.2,8898.7,8111.2,8829.2,1480000.0
2020-01-15,8827.9,8904.0,8615.5,8818.3,1170000.0
2020-01-16,8818.1,8850.0,8605.8,8726.9,748320.0
2020-01-17,8726.7,9005.1,8675.9,8913.1,794110.0
2020-01-18,8913.0,8982.3,8814.6,8916.3,627740.0
2020-01-19,8916.3,9183.7,8552.8,8706.2,975010.0
2020-01-20,8705.7,8740.1,8539.2,8641.9,599060.0
2020-01-21,8642.0,8770.3,8524.0,8732.6,540200.0
2020-01-22,8733.0,8805.4,8610.8,8678.5,509060.0
2020-01-23,8678.5,8687.3,8309.6,8405.1,722670.0
2020-01-24,8404.9,8522.0,8242.6,8439.9,617020.0
2020-01-25,8439.9,8447.6,8277.2,8341.6,444000.0
2020-01-26,8341.6,8607.8,8304.9,8607.8,468340.0
2020-01-27,8608.1,8983.1,8585.6,8866.6,706450.0
2020-01-28,8866.6,9389.5,8866.6,9377.3,954200.0
2020-01-29,9377.3,9428.7,9250.9,9298.9,749880.0
2020-01-30,9299.1,9569.0,9209.2,9507.3,765210.0
2020-01-31,9508.3,9525.0,9222.3,9349.1,633370.0
2020-02-01,9349.3,9458.8,9301.5,9381.6,458420.0
2020-02-02,9381.5,9465.4,9183.1,9334.9,683370.0
2020-02-03,9334.6,9582.8,9243.1,9296.6,701390.0
2020-02-04,9296.5,9347.5,9193.9,9193.9,651680.0
2020-02-05,9194.1,9726.8,9179.9,9611.8,771460.0
2020-02-06,9611.8,9854.9,9536.1,9772.0,778670.0
2020-02-07,9771.9,9872.5,9738.7,9818.6,608960.0
2020-02-08,9817.3,9931.2,9673.2,9895.5,551310.0
2020-02-09,9895.4,10157.1,9882.7,10151.5,617350.0
